problem_id,code,error_id_1,Knowledge_id_2,error_class_id
p1301,"#include<stdio.h>
int main(){
    int n,x,i,y=1;
    scanf(""%d"",&n);
    for(i=1;i<=n;i++){
        while(cin>>x){
            if(x>=1&&x<=9){
                printf(""%d"",y);
            }else y++;
        }
        printf(""\n"");
        y=1;
    }
    return 0;
}",函数使用错误-,无,E13
p1454,"#include<stdio.h>
int main(){
    int a,b,i,i;
    for(i=0;i<=n;i++){
        scanf(""%d %d"",&a,&b);
    }
    printf(""%d"",(a+b));
    return 0;
}",变量重复定义-,无,E14
p1587,"#include<stdio.h>
    int main(){
    float s = 150;
    float up = 15;
    float down = 25;
    float h;
    float c;
    h = 2 * s / 15;
    c = (up + down) * h / 2;
    printf(""%.2f"",c=);
    return 0;
}",操作符错误或缺失-,无,E18
p1833,"#include<stdio.h>
int main(){
    int a,b=0,t;
    scanf(""%d"",&a);
    for(int i=0;i<a/2;i++){
        t=a[i];
        a[i]=a[a-i];
        a[a-i]=t;
    }for(i=0;i<a;i++){
        printf(""%d "",a[i]);
    }
    return 0;
    
}",数据类型错误-,无,E19
p2218,"#include<stdio.h>
int main{
    int L,R=0;
    int i=0,m=0;
    scanf(""%d %d"",&L,&R);
    for(i=L;i<=R;i++){
        if(i==6)m++;
        else if(i%10==6)m++;
        else if(i%10%10==6)m++;
        else if(i%10%10%10==6)m++;
        else if(i%10%10%10%10==6)m++;
        else if(i%10%10%10%10%10==6)m++;
    }
    printf(""%d"",m);
    return 0;
}",函数缺少“( )”-,无,E20
p2346,"#include<stdio.h>
int main(){
    int n, i=0;
    scanf(""%d"",&n);
    for(""i=1;i<=n;i++){
    if(n%2==0){
        printf(""Y"");
    }
    }printf(""F"");
    return 0;
}",符号错误或缺失-,无,E21
p3329,"#include<stdio.h>
#include<string.h>
int main(){
    char a[265];
    int t=1;
    gets(a);
    for(int i=0;i<strlen(a);i++){
        t=a[i];
        a[t]++;
    }
    int max=0;
    char maxx;
    for(int i=97;i<=123;i++){
        if(a[i]>max){
            max=a[i];
            maxx=char(i);
        }
    }
    printf(""%c"",maxx);
}",类型转化错误-,无,E23
p3501,"#include<stdio.h>
int main( )
{
   int a,b,c,t;
   scanf(""%d %d %d""，&a，&b，&C);
   if(a>b)
  {t=a;
   a=b;
   b=t;}
   if(a>c)
  {t=a;
   a=C;
   c=t;}
   if(b>c)
  {t=b;
   b=C;
   c=t;}
   printf(""%d %d %d"",c,b,a);
   return 0;
}
",非英文字符-,无,E24
p3910,"#include<stdio.h>
int main(){
    long n;
    int a=1,b,c,d,e,f,i=0;
    scanf(""%ld"",&n);
    a=n/100000;
    b=n%100000/10000;
    c=n%100000%10000/1000;
    d=n%100000%10000%1000/100;
    e=n%100000%10000%1000%100/10;
    f=n%10;
    if(a==f&&b==e&&c==d){
        printf(""0"");
        break;
    }
    else{while(a!=f||b!=e||c!=d){
        a=n/100000;
        b=n%100000/10000;
        c=n%100000%10000/1000;
        d=n%100000%10000%1000/100;
        e=n%100000%10000%1000%100/10;
        f=n%10;
        n=a*100000+b*10000+c*1000+d*100+e*10+f+f*100000+e*10000+d*1000+c*100+b*10+a;
        i++;
        }printf(""%d"",i);
    }
    return 0;
}",将break用于循环与switch语句之外的语句中-,break,E25
p4049,"#include<stdio.h>
#include<string.h>
#define MAX 100
int main(){
    string a=0;
    char x[MAX];
    long long int s=0;
    scanf(""%s"",&a);
    if(x[MAX]=='+'){
        s=s+a;
    }
    printf(""%lld"",s);
    return 0;
}",不存在的数据类型-,无,E26
p4212,"#include <stdio.h>
 int main (void)
 {
     float x=1;
     float c=10x;
     printf (""c=%.f"",c);
     return 0
 }",数学表达式混淆-,无,E27
p4333,"#include<stdio.h>
#include<math.h>
int main()
{
    int n;
    scanf(""%d"",&n);
    if(sqrt(n)%1==0)
    {printf(""Y"");}
    else{printf(""N"");}
    return 0;
}",对非整型数据求模-,无,E28
p4453,"#include<stdio.h>
#include<string.h>
char arr[100000]={0};
int main(){
    int a=strlen (arr);
    for(int i=0;i<a;i++){
        scanf(""%c"",arr[i]);
        if(arr[i]>='a'&&arr[i]<'z'){
            arr[i]=arr[i]+1;
 }
        printf(""%c"",arr[i]);
    }
    return 0;
}
",输入缺少取地址操作符“&”-,无,E29
p4813,"#include<stdio.h>
#include<string.h>
char arr[100000]={0};
int main(){
    int a=strlen (arr),b=0;
    for(int i=0;i<a;i++){
        scanf(""%d"",&arr[i]);
        if(arr[i]>='a'&&arr[i]<'z'){
            arr[i]=arr[i]+1;
        }
        printf(""%c"",arr[i]);
    }
    return 0;
}
",输入类型格式不匹配-,无,E30
p4989,"#include<stdio.h>
int main(){
    int a=0,b,c;
    int s;
    scanf(""%d%d%d%d%d"",&a,&b,&c);
    s=a+b*c;
    printf(""%d"",s);
    return 0;
}",输入数据个数与格式控制串的定义个数不一致-,无,E31
p5199,"#include<stdio.h>
int main()
{
    int n,i=0,score,A,B,C,D,E;
    A=B=C=D=E=0;
    for(i=0;i<n;i++){
    scanf(""%d"",&score);
    if(score>=90)
    {
        A++;
    }
    else if(score>=80)
    {
        B++;
    }
    else if(score>=70)
    {
        C++;
    }
    else if(score>=60)
    {
        D++;
    }
    else
    {
        E++;
    }
    }
    printf(""%d %d %d %d %d"",A,B,C,D,E);
    return 0;
    
}",变量未初始化-,无,E32
p2,"#include<stdio.h>
#include<math.h>
int f(int x){
    int i;
    for(i=2;i<=sqrt(x);i++){
        if(x%i==0){
            return 0;
        }
    }
    return 1;
}
int main(){
    int n,i,min=100000;
    scanf(""%d"",&n);
    int a[n];
    for(i=0;i<n;i++){
        scanf(""%d"",&a[i]);
    }
    for(i=0;i<=n;i++){
        min=min>a[i]?a[i]=min;
    }
    if(min==0){
        printf(""%d"",min);
        printf(""[1]"");
    }else{
        printf(""%d"",min);
        printf(""[0]"");
    }
    return 0;
}",认知错误-,问号表达式,E0
p3,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum<temp?if(max>temp):maxsum;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p4,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum<temp?temp:break;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p5,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum<temp?temp:maxsum=temp;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p6,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum<temp?do:maxsum;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p7,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum<temp?temp:maxsum=maxsum;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p8,"#include<stdio.h>
#define n 100000
#define m 100000
int main()
{
    char a[n],b[m];
    gets(a);
    int strlen(a),strlen(b);
    for(int i=strlen(a)-1;i>=0;i-=3)
    {
        int s=0;
        s+=(a[i]<'A'?a[i]-'0':a[i-1]-'A'+10);
        if(i-1>0)
        s+=(a[i-1]<'A'a[i-1]-'0'?a[i-1]-'A'+10)*16;
        if(i-2>0)
        s+=(a[i-2]<'A'a[i-2]-'0'?a[i-2]-'A'+10)*256;
        for(int j=0;j<4;j++)
        {
            b[++strlen(b)]=s%8+'0';
            s/=8;
        }
    }
    while(strlen(b)>1&&b[strlen(b)]=='0')
    strlen(b)--;
    for(int i=strlen(b);i>0;i--)
    putchar(b[i]);
    return 0;
}",认知错误-,问号表达式,E0
p9,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
        n>=90?a++:(n>=80&&n<90?b++:(n>=70&&n<80?c++)(n>=70&&n<80?c++:n>=60&&n<70?d++:e++);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p10,"#include<stdio.h>
#include<math.h>
int f(int x){
    int i;
    for(i=2;i<=sqrt(x);i++){
        if(x%i==0){
            return 0;
        }
    }return 1;
}
int main(){
    int i,n;
    int max[10000];
    int a[n];
    scanf(""%d"",&n);
    for(i=0;i<=n;i++){
        scanf(""%d"",&a[i]);}
         for(i=0;i<=n;i++){
       max=max>a[i]?a[i]=max;}
    if(f(i)==0){
        printf(""%d"",i);
        printf(""[0]"");
    }
        else
        printf(""%d"",i);
        printf(""[1]"");
    }
}",认知错误-,问号表达式,E0
p11,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum=maxsum<temp?temp:maxsum=temp;
        }
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p12,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum>temp?do:maxsum;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p13,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum>= temp?temp:maxsum=maxsum;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p14,"#include<stdio.h>
#include<string.h>
#define n 100000
#define m 100000
int main()
{
    char a[n],b[m];
    for(int i=strlen(a)-1;i>=0;i-=3)
    {
        int s=0;
        s+=(a[i]<'A'?a[i]-'0':a[i-1]-'A'+10);
        if(i-1>0)
        s+=(a[i-1]<'A':a[i-1]-'0'?a[i-1]-'A'+10)*16;
        if(i-2>0)
        s+=(a[i-2]<'A':a[i-2]-'0'?a[i-2]-'A'+10)*256;
        for(int j=0;j<4;j++)
        {
            s/=8;
        }
    }
    while(strlen(b)>1&&b[strlen(b)]=='0')
    for(int i=strlen(b);i>0;i--)
    putchar(b[i]);
    return 0;
}",认知错误-,问号表达式,E0
p15,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
        n>=90?a++:(n>=80&&n<90?b++):(n>=60&&n<70?d++):(n<60?e++);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p16,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
        n>=90?a++;}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p17,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       a=a>b?a=a;}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p18,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n>=90?a++:(n>=80&&n<90?b++):(n>=70&&n<80?c++):(n>=60&&n<70?d++):(n<60?e++);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p19,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n>=90?a++:(n>=80&&n<90?b++):(n>=70&&n<80?c++:);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p20,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n>=90?a++:(n>=80&&n<90?b++:);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p21,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n>90?a++:(n>=80&&n<90?b++:);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p22,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n==90?a++:(n>=80&&n<90?b++:);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p23,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n<=90?a++:(n>=80&&n<90?b++:);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p24,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n>=90?a++:(n>=80&&n<90?b++);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p25,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n>90?a++:(n>=80&&n<90?b++);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p26,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n==90?a++:(n>=80&&n<90?b++);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p27,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n<=90?a++:(n>=80&&n<90?b++);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p28,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n>=90?a++:(n<=80&&n<90?b++);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p29,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n>=90?a++:(n==80&&n<90?b++);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p30,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n=n>a?a=n;}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p31,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n=n>a?a=n:;}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p32,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n=n<a?a=n;}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p33,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n=n>=a?a=n;}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p34,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
       n=n<=a?a=n;}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p35,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum<temp?temp:;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p36,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum=maxsum<temp?temp:;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p37,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum<=temp?temp:;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p38,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum==temp?temp:;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p39,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum>=temp?temp:;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p40,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum||temp?temp;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p41,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum<temp?temp;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
p42,"#include<stdio.h>
const int MAXN = 100001;
void judge(){
    int a[MAXN];
    int n,i,j,k;
    int maxsum;
    int temp;
    scanf(""%d"", &n);
    for(i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
    }
    maxsum=a[1];
    for(i=1;i<=n;i++)
        for(j=i;j<=n;j++){
            temp=0;
            for(k=i;k<=j;k++)
                temp=temp+a[k];
            maxsum = maxsum < temp ? temp;
        }
    printf(""%d\n"", maxsum);
}
int main(){
    judge();
    return 0;
}",认知错误-,问号表达式,E0
